Season,Round,Date,Home Team,Away Team,Home Score,Away Score,Total Goals,Result
LaLiga 2023/2024,37,19/05/2023,Alaves,Getafe,1,0,1,Home Win
LaLiga 2023/2024,36,17/05/2023,Real Sociedad,Valencia,1,0,1,Home Win
LaLiga 2023/2024,36,17/05/2023,Almeria,Barcelona,0,2,2,Away Win
LaLiga 2023/2024,36,17/05/2023,Las Palmas,Betis,2,2,4,Draw
LaLiga 2023/2024,36,16/05/2023,Celta Vigo,Ath Bilbao,2,1,3,Home Win
LaLiga 2023/2024,36,16/05/2023,Getafe,Atl. Madrid,0,3,3,Away Win
LaLiga 2023/2024,36,16/05/2023,Rayo Vallecano,Granada CF,2,1,3,Home Win
LaLiga 2023/2024,36,16/05/2023,Sevilla,Cadiz CF,0,1,1,Away Win
LaLiga 2023/2024,36,15/05/2023,Girona,Villarreal,0,1,1,Away Win
LaLiga 2023/2024,36,15/05/2023,Real Madrid,Alaves,5,0,5,Home Win
LaLiga 2023/2024,36,15/05/2023,Osasuna,Mallorca,1,1,2,Draw
LaLiga 2023/2024,35,14/05/2023,Barcelona,Real Sociedad,2,0,2,Home Win
LaLiga 2023/2024,35,13/05/2023,Betis,Almeria,3,2,5,Home Win
LaLiga 2023/2024,35,13/05/2023,Valencia,Rayo Vallecano,0,0,0,Draw
LaLiga 2023/2024,35,12/05/2023,Atl. Madrid,Celta Vigo,1,0,1,Home Win
LaLiga 2023/2024,35,12/05/2023,Cadiz CF,Getafe,1,0,1,Home Win
LaLiga 2023/2024,35,12/05/2023,Ath Bilbao,Osasuna,2,2,4,Draw
LaLiga 2023/2024,35,12/05/2023,Granada CF,Real Madrid,0,4,4,Away Win
LaLiga 2023/2024,35,11/05/2023,Villarreal,Sevilla,3,2,5,Home Win
LaLiga 2023/2024,35,11/05/2023,Mallorca,Las Palmas,1,0,1,Home Win
LaLiga 2023/2024,35,11/05/2023,Alaves,Girona,2,2,4,Draw
LaLiga 2023/2024,34,06/05/2023,Rayo Vallecano,Almeria,0,1,1,Away Win
LaLiga 2023/2024,34,06/05/2023,Sevilla,Granada CF,3,0,3,Home Win
LaLiga 2023/2024,34,06/05/2023,Valencia,Alaves,0,1,1,Away Win
LaLiga 2023/2024,34,05/05/2023,Celta Vigo,Villarreal,3,2,5,Home Win
LaLiga 2023/2024,34,05/05/2023,Osasuna,Betis,0,2,2,Away Win
LaLiga 2023/2024,34,05/05/2023,Mallorca,Atl. Madrid,0,1,1,Away Win
LaLiga 2023/2024,34,05/05/2023,Girona,Barcelona,4,2,6,Home Win
LaLiga 2023/2024,34,04/05/2023,Real Madrid,Cadiz CF,3,0,3,Home Win
