title,url,price(RM)
The dUCk Mini Shopping Bag 2.0 in Pink,/collections/all/products/the-duck-mini-shopping-bag-2-0-pink,95.0
The dUCk Shopping Bag 2.0- Classic Black,/collections/all/products/the-duck-shopping-bag-2-0-classic-black,75.0
The dUCk Shopping Bag 2.0 - Classic Brown,/collections/all/products/the-duck-shopping-bag-2-0-classic-brown,75.0
Safety Pins in Black,/collections/all/products/safety-pins-in-black,10.0
The dUCk Micro Shopping Bag - Classic Purple,/collections/all/products/the-duck-micro-shopping-bag-classic-purple,80.0
The Easy dUCk 2.0 - Breezy Black,/collections/all/products/the-easy-duck-2-0-breezy-black,150.0
Barbie™ The Movie x dUCk Mini Shopping Bag in I'm Just Ken,/collections/all/products/barbie-the-movie-x-duck-mini-shopping-bag-in-im-just-ken,85.0
Pleats Scarf in Mystery,/collections/all/products/pleats-scarf-in-mystery,130.0
Stainless Steel Pins,/collections/all/products/stainless-steel-pins,10.0
dUCk The Purple Sponge,/collections/all/products/duck-the-purple-sponge,45.0
The 9th dUCk Mini Shopping Bag,/collections/all/products/the-9th-duck-mini-shopping-bag,85.0
Frappe Shawl in Long Black,/collections/all/products/frappe-shawl-in-long-black,130.0
dUCk Monogram 5-in-1 Gusset Case in Purple,/collections/all/products/duck-monogram-5-in-1-gusset-case-in-purple,120.0
The Blooming dUCk - Paradise Micro Shopping Bag in Light Pink,/collections/all/products/the-blooming-duck-paradise-micro-shopping-bag-in-light-pink,95.0
dUCk Hair Care Anti Hair Loss - Shampoo,/collections/all/products/duck-hair-care-anti-hair-loss-shampoo,90.0
dUCk Monogram 5-in-1 Gusset Case in Black,/collections/all/products/duck-monogram-5-in-1-gusset-case-in-black,120.0
The Blooming dUCk - Anemone Mini Shopping Bag in Promise,/collections/all/products/the-blooming-duck-anemone-mini-shopping-bag-in-promise,85.0
The Blooming dUCk - Anemone Mini Shopping Bag in Believe,/collections/all/products/the-blooming-duck-anemone-mini-shopping-bag-in-believe,85.0
